0|1|2|3
산봉우리|성산일출봉|5|자연경관이 너무 멋있음. 정상까지 몇미터 안되지만 체력이 안좋아 쉬엄쉬엄 올라가는데…
산봉우리|성산일출봉|5|걸어올라가는 게 좀 힘들지만 올라가면 탁 트인 뷰에 정말 시원해짐
산봉우리|성산일출봉|4|저희는 애들이 덥고 힘들어해서 좌측 무료코스로 갔네요. 일부 구간은 통제이긴 한데 성산포해녀물질공연장=해녀의집과 우뭇개 전망대 가 보실 수 있어요. 해녀의 집 내려가 보시면 모래가 아닌 화산석 같은데 참 이뻐요.
산봉우리|성산일출봉|3|왕복하는데 시간이 대략 한시간 정도 걸린다. 단 여름에 가면 굉장히 덥다. 올라가는 길에 간간히 바다 풍경을 볼 수 있다. 올라가면 풍경이 멋지고 시원함.
산봉우리|성산일출봉|5|한번 방문하면 좋음. 올라가믄 길이 생각보다 시간이 오래 걸리지 않아서 금방 방문했음. 올라가서 보면 멋진 경관을 볼 수 있지만...
산봉우리|성산일출봉|5|성산일출봉 천연보호구역(城山日出峰 天然保護區域)은 제주특별자치도 서귀포시 성산읍 성산리에 있는 산이다.  커다란 사발 모양의 분화구가 특징으로, 분화구 내부의 면적은 129,774m2이다. 높이는 182 m이다. 성산 일출봉에서의 일출은 대한민국에서…
산봉우리|성산일출봉|5|8월 말 무진장 더운날 올라가서 땀범벅이 됐암 생각보다 높음 하지만 정상에서 바라보는 바다와 넓은 분화구에 펼처진 풀밭은 매우 멋있음
산봉우리|성산일출봉|5|무료, 유료 코스가 있는데 무료 코스도 경관이 멋있고 가볍게 산책하기 좋아요! 정말 장관이네요. 절경이고요, 신이 주신 선물이네요^^
산봉우리|성산일출봉|5|10년 전 수학여행 때 촬영했던 사진과 같은 장소에서 촬영했고 많이 달라진 점이 없어 좋았습니다. 하나 바뀐 점은 원래 무료입장이 있었는지 모르겠으나 현재는 유료와 무료입장으로 나뉘어 입장하고 있습니다. 굳이 정상에 가지 않을 분들이라면 무료입장을 통해 경치를 충분히 감상할 수 있을 것 같습니다.
산봉우리|성산일출봉|5|제주도에 오면 무조건 가야하는 장소:) 유네스코에 등재된 성산 일출봉 감동 그 자체입니다
산봉우리|성산일출봉|5|꼭한번 들러볼만한 곳입니다. 입구에서 정상까지 20~30분정도 소요됩니다. 분화구 경치도 너무 좋고 성산쪽 풍경도 좋습니다!
산봉우리|성산일출봉|5|두번째 방문. 작년보다 사람이 많아서 좀 아쉬웠지만 그래도 성산 일출봉은 동쪽 최고의 명소입니다.
산봉우리|성산일출봉|5|제주에서 제일 좋았던 곳이에요. ^^ 산(성산), 바다, 회까지~~~ 올라가는건 20분 정도 된것 같은데 조금 힘들지만 감수하고 갈만해요. 정상까지 갈수있는 건 입장료 5천원 있었던것 같네요.
산봉우리|성산일출봉|5|제주여행에서 제일기억에 남아요! 6시가 일출인데 여긴 7시반 오픈이라 다른곳에서 일출을 보시는분이많더라고용 저는 7시반에 오픈하자마자 오르는데 사람도 많지않고 10분?정도오르다가 나중에는 가파르게올라야해서…
산봉우리|성산일출봉|4|역시 제주도 여행의 필수 코스! 맑은 날씨에 방문하시면 멋있는 뷰를 볼수 있습니다.
산봉우리|성산일출봉|4|이번에코로나때문에 인원제한이걸려서 유료코스는 못올라갔어요 (1200명제한;;) 그래도 무료산책로코스가있어서 둘러보고왔네요 해지는시간에 갔는데 와..너무뷰가이쁜거에요ㅠㅠ 꼭가세요7!
산봉우리|성산일출봉|5|제주도 동쪽에 돌출한 성산반도 끝머리에 185m 그렇게 높지 않은 화산인 성산봉은 커다란 사발모양의 평평한 분화구가 섬 전체에 걸쳐 있다. 3면이 깎아지른 듯한 절벽으로 이루어져 있고, 분화구 위 99개의 바위 봉우리 둘러 서 있어 그 모습이 거대한 성처럼 보여 성산이라 하고 해돋이가 유명해 일출봉 이라고 한다.…
산봉우리|성산일출봉|3|경관이 너무좋고 공기도 맑아 높고 푸른하늘 꼭 하늘을나는듯한 기분 행복합니다. 이곳에 머물고 싶네요
산봉우리|성산일출봉|5|20여년만에 다시 올라보는 성산일출봉 비가 내려서 우비소녀가 되어 본날에 젊은이들과 함께 사브작 헥헥 헉헉 정상인성으로 정상찍기 자유한여인
산봉우리|성산일출봉|5|제주도 1경으로 경치가 끝내줍니다. 제주도에 한번씩 올때마다 매번 가지만 그 의미가 항상 다르고 경치또한 항상 바뀌어 갈째마다 새로움을 주는 곳입니다. 제주도에 오셨다면 강추 드립니다.
산봉우리|성산일출봉|5|최고의 일출맛집 가파르지만 갈만합니다 성인여성걸음으로 20분정도면 정상도착 가능 몇번을 가도 멋져요
산봉우리|성산일출봉|5|매월 첫째주 월요일 휴무. 입장료 성인 5천원. 주차장 운동장만합니다. 오른쪽 입구부터 정상까지 산행 왕복 50분 정도 소요됩니다. 오르는데만. 약 30분 소요되며 정상에는 도슨트하는 분이 계십니다. 상산일출봉에 대해 설명 들을 수 있고, 부탁하면 사진도 찍어주십니다. 왼쪽 입구로 가면 둘레길 산책하며 성산일출봉 옆 부분을 볼 수 있습니다. 관람용 망원경은 무료이며 우도를 볼 수 있습니다. 회전 망원경은 아닙니다.
산봉우리|성산일출봉|4|바람이 세게 부는 곳! 개인적으로 성산일출봉보다 옆에 있는 해녀들을 볼수 있는 해변이 더 좋다
산봉우리|성산일출봉|5|레전드 오브 레전드 명소에는 이유가 있죠. 정상으로 가는 코스는 입장료가 있습니다. ₩5000 코로나 이후 15시까지 매표하니 늦지 않게 가세용
산봉우리|성산일출봉|4|날 좋을때 오면 더욱 좋은곳 정상 오르긴 힘들지만 맑은 바닷물을 보며 힐링
산봉우리|성산일출봉|5|코로나로 인해 인원 출입 제한으로 정상까지 입산은 못했으나 주변 둘레길을 산책하는 것도 낭만적이었다.
산봉우리|성산일출봉|5|점차 제주의 관광객들이 이런 클래식한 관광지보다는 새로운 곳들을 찾고 있지만, 역시 오랜만에 방문해도 너무나 좋은 곳이었습니다🙂
산봉우리|성산일출봉|5|멀리서만 본다앙 걷지않아 ㅋ스벅에서도 보영 달리믄서도 보영
산봉우리|성산일출봉|5|제주도에서 느깔 수 있는 장엄함. 오르는 길이 모두 계단으로 되어있어 길지는 않지만 상당히 숨이 찬다. 그러나 올라가서 느끼는 바람과 제주바다와 시내를 한꺼번에 조망할 수 있는 풍경의 가치는 그 수고를 충분히 넘어선다.
산봉우리|성산일출봉|4|1. 올라가서 보는 풍경보다 아래에서 보는 풍경이 멋질 수도 있음.  2. 성산일출봉에서 바라보는 우도보다 우도에서 바라보는 성산일출봉이 멋질 수도 있음.
산봉우리|성산일출봉|5|Последствия вулкана на острове Чеджу, является достоянием ЮНЕСКО. Вход для взрослых стоит 5 000 вон. С собаками входить не разрешают. 제주도 화산의 여파는 유네스코 문화 유산이다.  성인 입장료는 5,000 원.  개는 허용되지 않습니다.
산봉우리|성산일출봉|5|넓은 들판과 멋진 성산일출봉 모습을 볼 수 있는 곳. 입장료를 내고 들어가는 곳도 있고 무료로 둘러 볼 수 있는 구역도 있다. 성산일출봉 바로 앞 들판에서 승마체험 하는 곳도 있고 바다에서 보트를 타고 성산일출봉 근처를 둘러보는 코스도 운영되고 있다. 해녀의 집에서는 다양한 해산물도 맛볼 수 있음. 사진찍기 좋으나 바람이 굉장히 많이 분다.
산봉우리|성산일출봉|4|매월 첫 번째 월요일이 휴관일이라ㅠㅠ 올라가지 못했음 그래도 맛보기?로 조금만 올라갈 수 있게 되어있어서 무료로 경관을 즐길 수 있어서 좋았음
산봉우리|성산일출봉|5|풍경이 좋은 곳으로 일출은 더욱 좋습니다. 새벽에 일출시간 맞춰서 올라가세요.
산봉우리|성산일출봉|5|제주도 대표 절경 중 하나입니다. 매표소 입장시간 외에는 무료입장 가능하니 일출 때 오시면 좋습니다.
산봉우리|성산일출봉|5|12월 5일 토요일 일출입니다. 구름에 가려져 살짝 늦게 보이긴 했지만, 너무 좋았습니다. 주차장에 6시 40분 전에 도착하였고, 정상에는 7시 조금 넘어서 도착했습니다. 7시 20분 전에는 여유있게 도착 하셔야 일출을 볼 수 있을거에요 ~ 다들 즐거운 여행 되세요 !
산봉우리|성산일출봉|4|멀리서 볼때 더 이쁠거같아서 굳이 올라가지는 않았습니다
산봉우리|성산일출봉|4|제주도의 대표적인 관광지 중에 한 곳. 단체 관광을 간다면 100%의 확률로 방문하게 된다.…
산봉우리|성산일출봉|5|제주도에서 꼭 봐야할 자연 경관 중 하나.  대한민국에서 가장 아름다운 해돋이를 볼 수 있는 징소이며, 2007년 세계자연유산으로 등재되었다고 한다.…
산봉우리|성산일출봉|5|제주도의 자연이 보여주는 최고의 전망 장소 왕복 50분 정도가 소요되며 슬리퍼를 신고는 등산이 어렵다 정상에 도착하면 한눈에 풍경을 볼 수 있으며 날이 좋은 날에는 우도도 보인다
산봉우리|성산일출봉|4|일출을 보기위해서 올랐다면 오히려 실망이 클 수 있는 곳. 정식 개장시간 전에도 입장은 가능함. 새벽시간에 일출을 보기위해서 입장하면 별도의 입장료를 내지 않아도 됨.…
산봉우리|성산일출봉|4|정말좋고 좋았는데정상길을못가서아쉽네여ㅠ 그런데무료산책코느는좋았어요!짱!
산봉우리|성산일출봉|5|푸른 바다와 멀리 한라산이 보여 좋다. 일출은 광치기 해변에서 보면 더 좋다. 30분이면 정상까지 쉽게 올라갈 수 있다. 입장료가 많이 올랐네
산봉우리|성산일출봉|5|일출 감상 명소
산봉우리|성산일출봉|5|천천히 산책하기 좋음
